1000.1745	1.330e2
1000.1875	1.500e2
1000.2004	5.000e1
1000.2134	6.700e1
1000.2263	8.600e1
1000.2393	9.500e1
1000.2522	7.400e1
1000.2651	1.060e2
1000.2781	1.300e2
1000.2911	1.330e2
1000.3041	3.110e2
1000.3170	1.880e2
1000.3300	2.530e2
1000.3429	1.570e2
1000.3558	2.400e2
1000.3688	3.810e2
1000.3817	2.360e2
1000.3947	1.920e2
1000.4077	1.750e2
1000.4206	1.390e2
1000.4335	2.990e2
1000.4465	5.740e2
1000.4594	4.500e2
1000.4724	4.250e2
1000.4854	6.130e2
1000.4983	6.560e2
1000.5113	2.680e2
1000.5242	2.030e2
1000.5372	1.890e2
1000.5501	1.560e2
1000.5631	1.550e2
1000.5760	2.570e2
1000.5890	7.900e1
1000.6019	2.320e2
1000.6149	4.950e2
1000.6278	1.460e2
1000.6408	3.300e1
1000.6537	6.100e1
1000.6667	1.160e2
1000.6796	1.430e2
1000.6926	1.360e2
1000.7055	1.320e2
1000.7185	1.110e2
1000.7315	1.450e2
1000.7444	2.590e2
1000.7574	3.820e2
1000.7703	3.790e2
1000.7833	4.570e2
1000.7963	4.440e2
1000.8092	7.020e2
1000.8221	4.630e2
1000.8351	2.940e2
1000.8480	2.440e2
1000.8610	3.050e2
1000.8740	3.290e2
1000.8869	1.810e2
1000.8998	2.200e2
1000.9128	2.910e2
1000.9258	1.950e2
1000.9387	1.180e2
1000.9517	1.290e2
1000.9647	1.340e2
1000.9776	1.490e2
1000.9906	1.710e2
1001.0035	1.500e2
1001.0165	1.160e2
1001.0294	2.260e2
1001.0424	1.200e2
1001.0554	5.700e1
1001.0683	1.050e2
1001.0812	8.500e1
1001.0942	2.100e2
1001.1071	2.230e2
1001.1201	4.380e2
1001.1331	2.260e2
1001.1460	1.460e2
1001.1589	2.710e2
1001.1720	1.860e2
1001.1849	2.470e2
1001.1979	1.830e2
1001.2108	1.600e2
1001.2238	1.360e2
1001.2368	1.890e2
1001.2497	1.540e2
1001.2626	2.420e2
1001.2756	6.260e2
1001.2886	1.027e3
1001.3015	7.740e2
1001.3145	8.870e2
1001.3274	1.298e3
1001.3404	1.028e3
1001.3533	3.420e2
1001.3663	2.360e2
1001.3792	2.220e2
1001.3922	2.000e2
1001.4052	1.390e2
1001.4182	1.380e2
1001.4311	1.760e2
1001.4440	2.220e2
1001.4570	2.500e2
1001.4700	1.910e2
1001.4829	3.320e2
1001.4959	3.150e2
1001.5089	3.500e2
1001.5218	2.930e2
1001.5347	2.990e2
1001.5477	3.770e2
1001.5607	2.150e2
1001.5736	1.260e2
1001.5865	1.140e2
1001.5995	1.180e2
1001.6125	1.090e2
1001.6255	2.650e2
1001.6384	3.710e2
1001.6514	1.380e2
1001.6644	1.440e2
1001.6773	6.300e1
1001.6903	8.100e1
1001.7032	1.540e2
1001.7162	1.340e2
1001.7291	1.410e2
1001.7421	2.180e2
1001.7551	4.300e2
1001.7680	5.480e2
1001.7809	6.580e2
1001.7939	9.450e2
1001.8069	9.820e2
1001.8198	1.331e3
1001.8329	1.120e3
1001.8458	4.100e2
1001.8588	4.590e2
1001.8718	2.790e2
1001.8847	2.040e2
1001.8976	2.220e2
1001.9106	1.970e2
1001.9236	1.470e2
1001.9365	1.560e2
1001.9495	1.990e2
1001.9625	1.140e2
1001.9754	4.500e1
1001.9883	1.020e2
1002.0013	2.060e2
1002.0143	2.080e2
1002.0272	2.050e2
1002.0402	2.740e2
1002.0532	3.010e2
1002.0662	2.200e2
1002.0791	2.880e2
1002.0921	3.050e2
1002.1050	3.300e2
1002.1180	4.170e2
1002.1310	4.280e2
1002.1439	3.220e2
1002.1569	2.780e2
1002.1699	2.990e2
1002.1828	3.010e2
1002.1957	2.030e2
1002.2087	1.530e2
1002.2217	2.380e2
1002.2346	2.670e2
1002.2476	3.030e2
1002.2606	3.870e2
1002.2735	3.250e2
1002.2866	5.690e2
1002.2995	5.500e2
1002.3124	4.180e2
1002.3254	4.050e2
1002.3384	4.370e2
1002.3513	2.320e2
1002.3643	1.750e2
1002.3773	2.110e2
1002.3902	3.020e2
1002.4032	5.530e2
1002.4161	1.387e3
1002.4291	2.659e3
1002.4421	5.111e3
1002.4550	1.205e4
1002.4680	3.373e4
1002.4810	4.239e4
1002.4939	4.102e4
1002.5070	5.188e4
1002.5199	4.872e4
1002.5328	2.520e4
1002.5458	8.642e3
1002.5588	3.174e3
1002.5718	1.020e3
1002.5847	6.350e2
1002.5977	4.220e2
1002.6107	4.480e2
1002.6236	2.400e2
1002.6365	1.940e2
1002.6495	2.060e2
1002.6625	3.250e2
1002.6755	3.370e2
1002.6884	3.330e2
1002.7014	2.150e2
1002.7144	3.270e2
1002.7274	4.870e2
1002.7403	6.940e2
1002.7533	1.210e3
1002.7662	2.995e3
1002.7792	7.233e3
1002.7922	2.180e4
1002.8051	4.658e4
1002.8181	5.474e4
1002.8311	5.566e4
1002.8441	7.261e4
1002.8570	5.791e4
1002.8699	2.540e4
1002.8829	8.399e3
1002.8959	3.048e3
1002.9089	1.134e3
1002.9218	6.320e2
1002.9348	3.150e2
1002.9478	2.610e2
1002.9608	3.020e2
1002.9738	5.300e2
1002.9867	2.800e2
1002.9997	2.650e2
1003.0126	3.390e2
1003.0256	6.260e2
1003.0386	6.570e2
1003.0515	3.550e2
